"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
22,"EryR",779999986,699999994,899999996,793333325.333333,58118653.4982053,735214671.835128,851451978.831539
22,"P",4e+06,2.5e+07,1.5e+07,14666666.6666667,6064468.46622008,8602198.20044658,20731135.1328867
22,"TetR",839999986,1339999994,719999996,966666658.666667,189853745.335134,776812913.331533,1156520404.0018
22,"DRP",14,6,4,8,3.05505046330389,4.94494953669611,11.0550504633039
23,"Total",1.36e+09,2.2e+09,2e+09,1853333333.33333,253333333.333333,1.6e+09,2106666666.66667
23,"EryR",639999994,599999996,559999998,599999996,23094009.6128845,576905986.387115,623094005.612885
23,"P",3800000,5e+06,8.5e+07,31266666.6666667,26868899.824477,4397766.84218971,58135566.4911436
23,"TetR",799999994,1039999996,879999998,906666662.666667,70553368.6730202,836113293.993646,977220031.339687
23,"DRP",6,4,2,4,1.15470053837925,2.84529946162075,5.15470053837925
24,"Total",1.58e+09,1.58e+09,1.4e+09,1.52e+09,6e+07,1.46e+09,1.58e+09
24,"EryR",869999995,679999993,569999994,706666660.666667,87622929.8820298,619043730.784637,794289590.548696
24,"P",4400000,7100000,3625000,5041666.66666667,1053202.78726896,3988463.8793977,6094869.45393563
24,"TetR",929999995,1239999993,999999994,1056666660.66667,93867518.3851037,962799142.281563,1150534179.05177
24,"DRP",5,7,6,6,0.577350269189626,5.42264973081037,6.57735026918963
