"beta","L","gamma","alpha","tau","log.density"
7078072283.45694,81.7454794761715,10.6011131407362,80652147.3414334,0.391084340645462,-1597.09234995508
7062215074.70006,81.5560288722431,10.5835768915596,80639913.5229404,0.390560654442192,-1595.78809491745
7058419416.0435,81.6153457271855,10.5981627626044,80769075.5279833,0.391149077008951,-1595.88881614813
7046443454.85833,81.4980104241951,10.6103610471601,80891375.6663523,0.391544834548355,-1595.73085078501
7072987627.28439,81.6435610075528,10.6177056460035,80855144.882847,0.390689412789981,-1596.06658117378
7086940719.28455,81.8206814893022,10.5982767671106,80772055.9725405,0.390599346156329,-1596.07395378233
7088031762.07589,81.8357274945347,10.5849346797357,80623904.3424166,0.391091371753473,-1599.51913106251
7096084706.15361,81.9228620570656,10.5775237039197,80616244.6999941,0.390300018294957,-1595.98803435325
7103036075.12969,81.9070067230733,10.5818228527385,80886786.3408716,0.390052478830394,-1596.82411592136
7096136959.2018,82.002429672781,10.5380931606775,80647747.0155251,0.390666075464923,-1596.35488244726
7087557828.73287,81.9147801229705,10.5468841611067,80702065.6444123,0.390568041963795,-1595.69474554428
7087557828.73287,81.9147801229705,10.5468841611067,80702065.6444123,0.390568041963795,-1595.69474554428
7087557828.73287,81.9147801229705,10.5468841611067,80702065.6444123,0.390568041963795,-1595.69474554428
7087557828.73287,81.9147801229705,10.5468841611067,80702065.6444123,0.390568041963795,-1595.69474554428
7094958850.98724,81.9841767590522,10.5463202495642,80631230.625373,0.39095361758708,-1597.79714121671
7096162312.71892,81.9409331491023,10.5646259372579,80421768.7499471,0.390085412351595,-1596.20952796272
7103050738.61174,81.9186996985062,10.5302361742691,80499871.7392657,0.389643840747314,-1596.77321079962
7109015928.71848,81.938978205707,10.5412026865359,80315992.4365302,0.389090064543039,-1595.8956973588
7109015928.71848,81.938978205707,10.5412026865359,80315992.4365302,0.389090064543039,-1595.8956973588
7109015928.71848,81.938978205707,10.5412026865359,80315992.4365302,0.389090064543039,-1595.8956973588
7099590434.37958,82.1889727772277,10.5216665659919,80476750.3201157,0.390847753797863,-1596.41330580659
7115786674.3784,82.3049053716336,10.5263808865218,80909764.4835877,0.390616371427741,-1595.89028141015
7110002289.59278,82.2650851832063,10.566305613038,80810808.1718854,0.39157412448918,-1596.57272389909
7110002289.59278,82.2650851832063,10.566305613038,80810808.1718854,0.39157412448918,-1596.57272389909
