"Time","Bacteria","data1","data2","Mean","se","se_min","se_max"
16,"DRP",4400000,1.6e+07,10200000,9281933.13198639,918066.868013611,19481933.1319864
17,"Total",2.4e+09,3.6e+09,3e+09,960199979.171006,2039800020.82899,3960199979.17101
17,"EryR",1.434e+09,1544600000,1489300000,88498431.4135944,1400801568.58641,1577798431.41359
17,"TetR",4.2e+07,54600000,48300000,10082099.7812956,38217900.2187044,58382099.7812956
17,"DRP",6e+06,15400000,10700000,7521566.50350621,3178433.49649379,18221566.5035062
18,"Total",2.4e+09,2.8e+09,2.6e+09,320066659.723669,2279933340.27633,2920066659.72367
18,"EryR",1433600000,1844200000,1638900000,328548426.206346,1310351573.79365,1967448426.20635
18,"TetR",51600000,74200000,62900000,18083766.2743873,44816233.7256127,80983766.2743873
18,"DRP",6400000,15800000,11100000,7521566.50350621,3578433.49649379,18621566.5035062
19,"Total",2.2e+09,2.4e+09,2.3e+09,160033329.861834,2139966670.13817,2460033329.86183
19,"EryR",1332800000,1.604e+09,1468400000,217005195.292647,1251394804.70735,1685405195.29265
19,"TetR",66800000,7.2e+07,69400000,4160866.57640769,65239133.4235923,73560866.5764077
19,"DRP",7200000,1.6e+07,11600000,7041466.51392071,4558533.48607929,18641466.5139207
20,"Total",1.8e+09,2.8e+09,2.3e+09,800166649.309171,1499833350.69083,3100166649.30917
20,"EryR",1592800000,1.52e+09,1556400000,58252132.0697077,1498147867.93029,1614652132.06971
20,"TetR",68800000,9.6e+07,82400000,21764532.8612095,60635467.1387905,104164532.861209
20,"DRP",7200000,2e+07,13600000,10242133.1111574,3357866.8888426,23842133.1111574
21,"Total",2.6e+09,4.4e+09,3.5e+09,1440299968.75651,2059700031.24349,4940299968.75651
21,"EryR",1550400000,1.598e+09,1574200000,38087932.5071166,1536112067.49288,1612287932.50712
21,"TetR",66400000,2.58e+08,162200000,153311930.007637,8888069.99236274,315511930.007637
21,"DRP",9600000,2.2e+07,15800000,9922066.45143373,5877933.54856627,25722066.4514337
22,"Total",3.2e+09,1.4e+09,2.3e+09,1440299968.75651,859700031.243491,3740299968.75651
22,"EryR",1470800000,1.398e+09,1434400000,58252132.0697077,1376147867.93029,1492652132.06971
22,"TetR",72800000,2.18e+08,145400000,116184197.479692,29215802.5203083,261584197.479692
22,"DRP",9200000,2.2e+07,15600000,10242133.1111574,5357866.8888426,25842133.1111574
23,"Total",2.8e+09,1.8e+09,2.3e+09,800166649.309171,1499833350.69083,3100166649.30917
23,"EryR",1155400000,1209400000,1182400000,43208999.0626953,1139191000.9373,1225608999.0627
23,"TetR",35400000,79400000,57400000,35207332.5696035,22192667.4303965,92607332.5696035
23,"DRP",4600000,10600000,7600000,4800999.89585503,2799000.10414497,12400999.895855
24,"Total",1.5e+09,2.5e+09,2e+09,800166649.309171,1199833350.69083,2800166649.30917
24,"EryR",1480500000,1387600000,1434050000,74335481.720822,1359714518.27918,1508385481.72082
24,"TetR",70500000,88600000,79550000,14483016.352496,65066983.647504,94033016.352496
24,"DRP",9500000,12400000,10950000,2320483.2829966,8629516.7170034,13270483.2829966
