"time","Be","Bt","Bet","Pl","Pe","Pt","ery","tet"
4.5,21386669.3158117,13162302.6402742,5.46850340387979e-07,201307.803282402,0.000142272325744912,9.97013624271863e-05,0,0
4.6,25007886.242515,15245650.7388572,7.41928117347655e-07,205061.340953427,0.000167022467467338,0.000115935159254105,0,0
4.7,29231309.9523174,17652547.1050405,1.00662807075823e-06,209456.915204728,0.000196108887706512,0.00013483033723691,0,0
4.8,34153149.4359313,20431084.5505766,1.36305979454816e-06,214606.857001492,0.000230305844668833,0.000156832548333172,0,0
4.9,39883571.7965229,23635759.028894,1.84866725387691e-06,220643.957609135,0.000270530690656252,0.000182465078704084,0,0
5,46548219.9560193,27328063.3056251,2.50673134289824e-06,227725.441030362,0.000317871839670042,0.000212343279534399,0,0
5.1,54289719.7656535,31577046.2544226,3.39724561504172e-06,236037.801986482,0.000373622823448238,0.000247192022319478,0,0
5.2,63269063.7136036,36459784.157741,4.60152533311458e-06,245802.639977513,0.000439323348605384,0.000287866599908422,0,0
5.3,73666771.7765639,42061714.1093714,6.22814407497856e-06,257283.761990669,0.000516809267701455,0.000335377996329127,0,0
5.4,85683666.8637601,48476753.3827161,8.42216840301066e-06,270795.831131509,0.000608273411014785,0.000390923440966183,0,0
5.5,99541037.6703623,55807101.6200873,1.13788425272942e-05,286714.865905152,0.000716339423535541,0.000455923230579065,0,0
5.6,115479974.598269,64162629.8723287,1.53569042394941e-05,305491.088291208,0.000844152120093003,0.00053206547660311,0,0
5.7,133759502.221508,73659694.8279343,2.06912911791624e-05,327664.433556993,0.000995486584653118,0.000621359711146489,0,0
5.8,154653216.461405,84419258.1701196,2.78496274166972e-05,353883.287183428,0.00117488003962335,0.000726201174143644,0,0
5.9,178443981.022895,96564127.2442815,3.74206666588637e-05,384927.184663154,0.00138779175262424,0.000849448095546584,0,0
6,205416361.789071,110215203.989535,5.01222763258991e-05,421733.754969133,0.00164079309247743,0.000994512692676884,0,0
6.1,235846451.484252,125486619.456341,6.70859115193633e-05,465430.644497076,0.00194179313771238,0.00116546809151734,0,0
6.2,269988921.860685,142479726.389921,8.95668130186709e-05,517372.731219393,0.00230030232288832,0.00136717185487107,0,0
6.3,308061347.337703,161276019.683641,0.000119246462332249,579184.811564049,0.00272773582324408,0.00160540629840599,0,0
6.4,350226213.416427,181929221.028533,0.000158265939846117,652809.425226173,0.00323775484374824,0.00188703397056224,0,0
6.5,396571445.204421,204456945.61262,0.000209326195319589,740558.899178428,0.00384663996110568,0.00222016466408105,0,0
6.6,447090788.527323,228832574.766054,0.000275861122469105,845169.732663573,0.00457368395799079,0.0026143270879818,0,0
6.7,501665895.780933,254978163.263338,0.000361939660040359,969856.361744697,0.00544158389532023,0.00308063478625948,0,0
6.8,560052386.366006,282759352.765862,0.000472697704016047,1118359.60337466,0.00647679963400836,0.00363193030126643,0,0
6.9,621872046.439539,311983194.564327,0.0006143055421259,1294984.39126374,0.00770984107179166,0.00428288926046355,0,0
7,686613758.249757,342399907.409717,0.000794103223983266,1504617.38169167,0.00917541675915536,0.00505005352980843,0,0
7.1,753643631.805268,373708647.485723,0.00102073882697568,1752719.17751135,0.0109124058765161,0.00595177648992019,0,0
7.2,822226262.950716,405568001.106429,0.0013042455481924,2045275.12551113,0.0129635375431297,0.00700802870062495,0,0
7.3,891554554.291856,437609929.236583,0.00165610576127774,2388700.92890259,0.0153747479857127,0.0082400535597813,0,0
7.4,960786625.840389,469456432.307946,0.00208926455634359,2789691.32724071,0.0181941283340414,0.0096698368091225,0,0
7.5,1029086218.00457,500737321.928427,0.00261822177587052,3255007.04223135,0.0214704250154794,0.0113193769088716,0,0
7.6,1095662144.90671,531107140.747848,0.00325846327550466,3791201.69187141,0.0252510994897433,0.0132097668118492,0,0
7.7,1159803503.78846,560259923.287106,0.0040269935904652,4404293.24634035,0.0295799785962534,0.0153601029521041,0,0
7.8,1220907069.57597,587940293.122239,0.00494172407651365,5099395.53628122,0.0344946022187206,0.0177862770917651,0,0
7.9,1278495381.34002,613950389.541167,0.00602104179401208,5880328.04554235,0.0400233990464585,0.0204997110692235,0,0
8,1332223979.55083,638152048.291626,0.00728378887068832,6749244.04256572,0.046182977306016,0.0235061676648904,0,0
8.1,1381879725.14585,660465196.348498,0.00874864080438207,7706299.74864636,0.0529756983538921,0.0268047079171932,0,0
8.2,1427371264.2073,680862965.691479,0.010433688024391,8749404.63782711,0.0603878245381464,0.0303869244434967,0,0
8.3,1468713970.2353,699364572.490334,0.0123558402309245,9874082.24811597,0.0683884582135011,0.0342365425026214,0,0
8.4,1506011654.11303,716026960.293285,0.014530500692395,11073465.4663869,0.0769294497697015,0.038329462757569,0,0
8.5,1539437294.98116,730936168.887982,0.0169711750570117,12338432.5697294,0.0859463248335391,0.0426342618531498,0,0
8.6,1569213904.27671,744198893.213069,0.0196886861151004,13657900.9770364,0.0953603569366082,0.04711320260092,0,0
8.7,1595597707.48091,755935134.917382,0.0226913483542879,15019225.5270068,0.105081403393536,0.0517235782358533,0,0
8.8,1618863317.93023,766271791.725082,0.0259844016542521,16408707.8344183,0.115011553683054,0.0564194100777563,0,0
8.9,1639291657.79503,775337481.620569,0.0295701679473046,17812165.2127798,0.125049217880529,0.0611533305130936,0,0
9,1657160602.53196,783258576.651282,0.0334479285207733,19215514.238806,0.135093331143023,0.0658785036344184,0,0
9.1,1672738097.67386,790156317.226305,0.0376141296800008,20605323.9454195,0.145047346868216,0.0705504384596496,0,0
9.2,1686277296.154,796144799.345167,0.0420626325274078,21969313.1726592,0.154822832323799,0.0751286135605568,0,0
9.3,1698013582.41026,801329783.548514,0.0467850184301904,23296743.2007055,0.164342315873307,0.079577750629237,0,0
9.4,1708162977.74934,805808091.615539,0.0517710718693459,24578695.1074755,0.173541305504781,0.0838687066032908,0,0
9.5,1716921551.63401,809667428.167531,0.0570090768961557,25808227.6699305,0.182369447907898,0.0879789711760522,0,0
9.6,1724465583.3303,812986518.011711,0.0624863137116129,26980422.823035,0.190790877625943,0.0918927937717455,0,0
9.7,1730952498.28968,815835574.537135,0.0681895594523924,28092298.4615085,0.198783611168427,0.095600872789287,0,0
9.8,1736522456.05858,818277043.393811,0.0741052940446829,29142643.5626395,0.206338377709894,0.0990997929607672,0,0
9.9,1741298052.66132,820365496.417394,0.0802202043523343,30131836.4371504,0.213457333589168,0.102391401503674,0,0
10,1745387185.56737,822148928.123679,0.0865213951396357,31061576.4146779,0.220152140598522,0.105481912093938,0,0
10.1,1748883855.64018,823669126.660018,0.0929966702404385,31934596.1866036,0.226441911909138,0.108380937891432,0,0
10.2,1751870927.43844,824962911.141576,0.0996345207962927,32754453.4040463,0.232351713492325,0.111100802024003,0,0
10.3,1754419820.93682,826062002.218795,0.106424415987523,33525205.2593092,0.237910241212943,0.113655442724349,0,0
10.4,1756592335.41406,826993837.8805,0.113356853084343,34251228.9823701,0.243148529888522,0.116059819369291,0,0
10.5,1758442107.49823,827782224.856866,0.12042323565557,34937052.5438505,0.248098736442656,0.118329351664728,0,0
10.6,1760015002.42767,828447515.109709,0.12761609979875,35587159.6318577,0.252792743204353,0.120479268107862,0,0
10.7,1761350955.04355,829007424.96634,0.134928818821546,36205965.7452364,0.257261977986306,0.122524535269912,0,0
10.8,1762483933.85399,829477020.649605,0.142355790765353,36797631.546735,0.261536078664087,0.124479232835525,0,0
10.9,1763443214.69522,829869284.405736,0.149892204117112,37366090.7733125,0.265643086104087,0.126356653956007,0,0
11,1764254127.32092,830195446.594552,0.157534007805001,37914997.428614,0.269609062242909,0.128169132638091,0,0
11.1,1764938071.33294,830464993.032149,0.165277922538556,38447685.2836632,0.273457800034866,0.129927908406581,0,0
11.2,1765513440.02153,830686075.329306,0.173121300296937,38967197.8663914,0.277211032559551,0.131643232153706,0,0
11.3,1765995968.30595,830865665.446975,0.181062067140354,39476290.5558264,0.280888445883815,0.133324375249055,0,0
11.4,1766399116.66265,831009726.165075,0.189098662233287,39977445.0480435,0.284507780173197,0.134979680330698,0,0
11.5,1766734369.94531,831123343.733412,0.19722999953931,40472889.5735104,0.288084972489645,0.136616630790857,0,0
11.6,1767011556.49978,831210869.492803,0.205455372748727,40964622.1098689,0.291634320899752,0.138241930440092,0,0
11.7,1767239040.57649,831276005.259834,0.213774439756777,41454427.9841002,0.295168609171669,0.139861563626753,0,0
11.8,1767423961.32741,831321909.356235,0.222187220212375,41943907.2334069,0.298699301078236,0.141480888263717,0,0
11.9,1767572382.74171,831351263.118446,0.230693967510506,42434490.5791037,0.302236653674174,0.143104690278291,0,0
12,1767689514.1606,831366368.714728,0.239295190920812,42927470.1627109,0.305789935992265,0.144737287732898,0,0
12.1,1767779765.35128,831369173.562654,0.247991676268224,43424005.1101171,0.309367468389629,0.146382549867643,0,0
12.2,1767846878.5865,831361328.894747,0.256784275387386,43925144.761378,0.312976787935598,0.148043975657989,0,0
12.3,1767894035.74317,831344237.250496,0.265674177394252,44431844.4400368,0.316624760634083,0.149724747211477,0,0
